Name | Total rule apps | Nodes | Branches | Overall time | Automode time | Closed | Time per step | Memory
examples/./performance-test/Dynamic(Dynamic__foo_06()).JML_operation_contract.0.key.auto.key | 7958 | 4917 | 81 | 12434 | 8266 | 1 | 1.6811063 | 36902
examples/./performance-test/Dynamic(Dynamic__foo_07()).JML_operation_contract.0.key.auto.key | 14612 | 9865 | 120 | 17539 | 13493 | 1 | 1.3677648 | 45647
examples/./performance-test/Dynamic(Dynamic__foo_08()).JML_operation_contract.0.key.auto.key | 10296 | 6118 | 98 | 14678 | 10621 | 1 | 1.7360249 | 41737
examples/./performance-test/Dynamic(Dynamic__foo_09()).JML_operation_contract.0.key.auto.key | 8390 | 4327 | 80 | 13169 | 9139 | 1 | 2.112087 | 38438
examples/./performance-test/Dynamic(Dynamic__foo_10()).JML_operation_contract.0.key.auto.key | 8316 | 4111 | 84 | 13457 | 9353 | 1 | 2.2751155 | 39077
examples/./performance-test/Dynamic(Dynamic__foo_20()).JML_operation_contract.0.key.auto.key | 30221 | 17263 | 176 | 64466 | 60320 | 1 | 3.4941783 | 79764
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_01()).JML_normal_behavior_operation_contract.0.key.auto.key | 551 | 226 | 7 | 5257 | 1029 | 1 | 4.5530972 | 20644
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_02()).JML_normal_behavior_operation_contract.0.key.auto.key | 1084 | 459 | 14 | 5598 | 1613 | 1 | 3.514161 | 23114
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_03()).JML_normal_behavior_operation_contract.0.key.auto.key | 1847 | 821 | 22 | 6938 | 2910 | 1 | 3.544458 | 26780
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_04()).JML_normal_behavior_operation_contract.0.key.auto.key | 2955 | 1402 | 31 | 8353 | 3881 | 1 | 2.7681882 | 30995
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_05()).JML_normal_behavior_operation_contract.0.key.auto.key | 4405 | 2171 | 41 | 9054 | 4843 | 1 | 2.2307692 | 32164
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_06()).JML_normal_behavior_operation_contract.0.key.auto.key | 6242 | 3203 | 52 | 9413 | 5217 | 1 | 1.6287855 | 34145
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_07()).JML_normal_behavior_operation_contract.0.key.auto.key | 8925 | 4687 | 64 | 12346 | 8403 | 1 | 1.7928312 | 37700
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_08()).JML_normal_behavior_operation_contract.0.key.auto.key | 12104 | 6501 | 77 | 14806 | 10162 | 1 | 1.5631441 | 41717
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_09()).JML_normal_behavior_operation_contract.0.key.auto.key | 15719 | 8611 | 91 | 15629 | 11162 | 1 | 1.296249 | 46514
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_10()).JML_normal_behavior_operation_contract.0.key.auto.key | 20596 | 11417 | 106 | 19948 | 15686 | 1 | 1.3739161 | 53108
examples/./performance-test/DynamicGhost(DynamicGhost__dynamicGhost_20()).JML_normal_behavior_operation_contract.0.key.auto.key | 74511 | 42931 | 223 | 126017 | 121852 | 1 | 2.838322 | 148388
examples/./performance-test/GhostFrame(GhostFrame__foo_01()).JML_operation_contract.0.key.auto.key | 493 | 201 | 9 | 4964 | 800 | 1 | 3.9800994 | 19867
examples/./performance-test/GhostFrame(GhostFrame__foo_02()).JML_operation_contract.0.key.auto.key | 916 | 362 | 17 | 5262 | 1273 | 1 | 3.5165746 | 21689
examples/./performance-test/GhostFrame(GhostFrame__foo_03()).JML_operation_contract.0.key.auto.key | 1351 | 532 | 25 | 5834 | 1800 | 1 | 3.3834586 | 23680
examples/./performance-test/GhostFrame(GhostFrame__foo_04()).JML_operation_contract.0.key.auto.key | 1799 | 710 | 33 | 6567 | 2269 | 1 | 3.1957746 | 25866
examples/./performance-test/GhostFrame(GhostFrame__foo_05()).JML_operation_contract.0.key.auto.key | 2260 | 898 | 41 | 6687 | 2541 | 1 | 2.8296213 | 28223
examples/./performance-test/GhostFrame(GhostFrame__foo_06()).JML_operation_contract.0.key.auto.key | 2733 | 1094 | 49 | 7627 | 3413 | 1 | 3.119744 | 30762
examples/./performance-test/GhostFrame(GhostFrame__foo_07()).JML_operation_contract.0.key.auto.key | 3218 | 1298 | 57 | 8024 | 3785 | 1 | 2.9160247 | 33459
examples/./performance-test/GhostFrame(GhostFrame__foo_08()).JML_operation_contract.0.key.auto.key | 3714 | 1509 | 65 | 8663 | 4480 | 1 | 2.9688535 | 34824
examples/./performance-test/GhostFrame(GhostFrame__foo_09()).JML_operation_contract.0.key.auto.key | 4223 | 1729 | 73 | 9390 | 5117 | 1 | 2.9595141 | 34876
examples/./performance-test/GhostFrame(GhostFrame__foo_10()).JML_operation_contract.0.key.auto.key | 4743 | 1956 | 81 | 10326 | 5738 | 1 | 2.9335377 | 35332
examples/./performance-test/GhostFrame(GhostFrame__foo_20()).JML_operation_contract.0.key.auto.key | 10969 | 5032 | 161 | 22178 | 17966 | 1 | 3.5703497 | 45311
